   86.6 75.8 64
   85 84.1 62
   83.3 68.3 72.5
   86.6 75 71.1
   80 72.5 69.1
   75 55.8 60
   70 67.5 62.5
   85 77.5 75
   83.3 72.5 72.5
   80.8 77.5 75.8
   84.1 77.5 71.6
   84.1 77.5 74.1
   85 87.5 84.1
   87.5 82.5 80
   85.3 83.3 82.5
   80 77.5 75
   83.3 60 70
   75.8 70 64.1
   62 72 70
   70 78.3 75.8
   71.6 85 67.5
   65 70 62.5
   60 73.3 62.5
   71.6 77.5 75
   74.1 80 75
   72.5 84.1 75
   73.3 85.8 75
   68.3 82.5 72.5
   63.3 80 67.5
   59.1 74.1 70
   57.5 65 84.1
   61.6 61.6 70
   63.3 70.8 72.5
   61.6 72.5 74.1
   80 74.1 90
   82.5 82.5 87.5
   65 70 80
   60 65 70
   57.5 65 75.8
   77.5 72.5 85
